,02700,06200,10000,11000,11100,11200,11300,11500,11600,11700,11800,11900,11960,12000,13100,13300,13500,13600,14000,14200,14300,14400
02700,0,52,35,52,59,50,54,39,31,30,31,36,29,24,40,41,25,24,23,15,24,31
06200,52,0,52,68,76,66,70,55,47,46,47,55,50,39,31,36,32,39,43,59,58,39
10000,35,52,0,37,30,21,30,19,11,14,16,23,19,25,41,41,25,25,30,44,43,31
11000,52,68,37,0,39,44,48,23,28,26,23,17,26,39,55,56,40,39,44,55,55,45
11100,59,76,30,39,0,11,39,34,33,34,39,47,43,49,65,65,49,48,54,67,67,55
11200,50,66,21,44,11,0,31,25,24,25,30,38,34,40,56,56,40,39,45,58,58,46
11300,54,70,30,48,39,31,0,30,29,30,35,43,39,45,61,61,45,44,50,63,63,51
11500,39,55,19,23,34,25,30,0,12,13,18,24,22,28,44,44,28,27,33,46,46,34
11600,31,47,11,28,33,24,29,12,0,4,10,18,14,21,37,37,21,20,26,39,39,27
11700,30,46,14,26,34,25,30,13,4,0,7,19,15,18,34,34,18,17,23,36,36,24
11800,31,47,16,23,39,30,35,18,10,7,0,18,16,19,35,36,20,19,25,38,38,26
11900,36,55,23,17,47,38,43,24,18,19,18,0,9,30,46,47,31,30,35,38,38,36
11960,29,50,19,26,43,34,39,22,14,15,16,9,0,24,40,40,24,23,29,32,32,30
12000,24,39,25,39,49,40,45,28,21,18,19,30,24,0,18,26,12,8,16,33,33,18
13100,40,31,41,55,65,56,61,44,37,34,35,46,40,18,0,25,21,25,33,47,47,27
13300,41,36,41,56,65,56,61,44,37,34,36,47,40,26,25,0,21,28,22,47,47,15
13500,25,32,25,40,49,40,45,28,21,18,20,31,24,12,21,21,0,11,16,31,31,8
13600,24,39,25,39,48,39,44,27,20,17,19,30,23,8,25,28,11,0,14,31,30,15
14000,23,43,30,44,54,45,50,33,26,23,25,35,29,16,33,22,16,14,0,33,33,9
14200,15,59,44,55,67,58,63,46,39,36,38,38,32,33,47,47,31,31,33,0,12,37
14300,24,58,43,55,67,58,63,46,39,36,38,38,32,33,47,47,31,30,33,12,0,38
14400,31,39,31,45,55,46,51,34,27,24,26,36,30,18,27,15,8,15,9,37,38,0
